s,"n(s,p,L)"
1,0.1603
2,0.024
3,0.0144
4,0.0067
5,0.0043
6,0.0017
7,0.0015
8,0.0008
9,0.0006
10,0.0008
11,0.0007
12,0.0001
13,0.0002
14,0.0001
15,0.0001
18,0.0001
19,0.0001
20,0.0001
29,0.0002
30,0.0001
35,0.0001
41,0.0002
46,0.0001
48,0.0001
49,0.0001
51,0.0001
52,0.0001
58,0.0001
59,0.0001
60,0.0001
62,0.0001
63,0.0001
64,0.0001
65,0.0001
66,0.0001
67,0.0004
68,0.0004
69,0.0003
70,0.0009
71,0.0009
72,0.0011
73,0.0011
74,0.0023
75,0.0041
76,0.006
77,0.0088
78,0.0123
79,0.0189
80,0.0315
81,0.041
82,0.0551
83,0.0752
84,0.0893
85,0.099
86,0.1096
87,0.1088
88,0.0928
89,0.0869
90,0.0641
91,0.0416
92,0.0246
93,0.0137
94,0.005
95,0.0026
96,0.0002
97,0.0001
