s,"n(s,p,L)"
1,1.8572
2,0.485
3,0.3213
4,0.2007
5,0.1466
6,0.1113
7,0.0857
8,0.0689
9,0.0591
10,0.0525
11,0.0489
12,0.0393
13,0.0339
14,0.0289
15,0.0264
16,0.0244
17,0.0209
18,0.0223
19,0.0211
20,0.0213
21,0.0166
22,0.0193
23,0.0183
24,0.016
25,0.0159
26,0.0142
27,0.0146
28,0.0106
29,0.0125
30,0.0152
31,0.0138
32,0.0133
33,0.0153
34,0.0138
35,0.0134
36,0.0137
37,0.0134
38,0.0177
39,0.0145
40,0.0148
41,0.016
42,0.0159
43,0.0163
44,0.0182
45,0.0174
46,0.0164
47,0.0183
48,0.0152
49,0.0189
50,0.0197
51,0.0211
52,0.0207
53,0.0234
54,0.0237
55,0.0254
56,0.0278
57,0.0266
58,0.0297
59,0.0259
60,0.0265
61,0.0291
62,0.0283
63,0.0326
64,0.0304
65,0.0299
66,0.0281
67,0.0267
68,0.0243
69,0.0224
70,0.0178
71,0.0155
72,0.012
73,0.0093
74,0.0078
75,0.0049
76,0.0033
77,0.0025
78,0.0014
79,0.001
80,0.0001
81,0.0003
