s,"n(s,p,L)"
1,5.5756
2,1.758
3,1.1022
4,0.7293
5,0.523
6,0.386
7,0.3023
8,0.2411
9,0.2
10,0.1572
11,0.1364
12,0.105
13,0.089
14,0.0773
15,0.0689
16,0.057
17,0.0556
18,0.0469
19,0.0391
20,0.0355
21,0.0276
22,0.0272
23,0.0236
24,0.0225
25,0.0178
26,0.0166
27,0.015
28,0.016
29,0.0118
30,0.0082
31,0.0095
32,0.0069
33,0.0083
34,0.0064
35,0.0064
36,0.0049
37,0.0037
38,0.0033
39,0.0035
40,0.0022
41,0.0023
42,0.0021
43,0.002
44,0.0017
45,0.0013
46,0.0013
47,0.0012
48,0.0008
49,0.0004
50,0.0001
51,0.0004
52,0.0003
53,0.0002
54,0.0001
55,0.0001
56,0.0004
57,0.0001
58,0.0001
59,0.0001
