p,Pflow,dMin,Smax,Save
0.01,0,0,1.0269151138716357,1.0189520624303232
0.02,0,0,1.0845724907063197,1.0492565055762082
0.03,0,0,1.1633595800524934,1.0869116360454942
0.04,0,0,1.2620745873242307,1.1342469940900755
0.05,0,0,1.391124974844033,1.1986147447507882
0.06,0,0,1.5356641955519936,1.2689841715087165
0.07,0,0,1.6712698889222455,1.3345842089462638
0.08,0,0,1.8413841384138414,1.4180918091809194
0.09,0,0,2.0049,1.4969833333333353
0.10,0,0,2.1887,1.5859000000000048
0.11,0,0,2.3371,1.6552350000000067
0.12,0,0,2.4809,1.7218083333333376
0.13,0,0,2.6802,1.8126033333333373
0.14,0,0,2.8548,1.8906783333333372
0.15,0,0,3.0521,1.9791749999999992
0.16,0,0,3.2674,2.0728883333333292
0.17,0,0,3.4531,2.1500216666666647
0.18,0,0,3.6481,2.235594999999989
0.19,0,0,3.8869,2.330836666666658
0.20,0,0,4.1162,2.420921666666658
0.21,0,0,4.3249,2.5067716666666584
0.22,0,0,4.5823,2.6098883333333345
0.23,0.0001,10.0,4.8292,2.70545452380953
0.24,0.0001,15.0,5.1091,2.813242619047614
0.25,0.0001,15.0,5.3888,2.9167050000000025
0.26,0.0003,11.666666666666666,5.7203,3.034535714285714
0.27,0.0001,11.0,5.9848,3.1317507142857295
0.28,0.0003,12.666666666666666,6.355,3.2622376190476303
0.29,0.0007,11.428571428571429,6.7121,3.3889264285714344
0.30,0.001,12.7,7.0849,3.512569523809538
0.31,0.0011,13.636363636363637,7.5104,3.658062500000022
0.32,0.0022,12.318181818181818,7.8704,3.7760657142857235
0.33,0.0034,12.294117647058824,8.365,3.936297857142882
0.34,0.0041,13.121951219512194,8.8672,4.095285238095233
0.35,0.0046,12.826086956521738,9.3452,4.252491428571423
0.36,0.0075,13.0,9.8575,4.4128653571428655
0.37,0.0096,13.052083333333334,10.393,4.587185595238094
0.38,0.0106,12.924528301886792,11.0394,4.776917857142841
0.39,0.0137,13.021897810218977,11.6429,4.974765833333337
0.40,0.0223,13.103139013452914,12.3712,5.182203809523803
0.41,0.026,13.042307692307693,13.0688,5.394825000000015
0.42,0.0328,13.158536585365853,13.8381,5.626086547619049
0.43,0.0451,13.090909090909092,14.8091,5.919467936507963
0.44,0.0535,13.121495327102803,15.5777,6.138644999999989
0.45,0.0686,13.110787172011662,16.7127,6.482298333333325
0.46,0.0805,13.096894409937889,17.7063,6.762109880952377
0.47,0.0997,13.044132397191575,18.8225,7.1029848412698575
0.48,0.1148,12.847560975609756,19.8666,7.45056376984127
0.49,0.1388,12.990634005763688,21.2177,7.8965656746031865
0.50,0.1655,12.993353474320243,22.7069,8.309678769841282
0.51,0.19,12.90842105263158,23.9291,8.76605376984127
0.52,0.2224,12.91636690647482,25.4244,9.274942182539691
0.53,0.2585,12.859574468085107,26.9478,9.774605000000022
0.54,0.3005,12.89018302828619,28.7603,10.440097698412657
0.55,0.3415,12.790336749633967,30.5253,11.137924444444465
0.56,0.3895,12.643645699614892,32.462,11.874972817460307
0.57,0.4223,12.59104901728629,34.1269,12.551199960317472
0.58,0.4789,12.533305491751932,36.2871,13.560046111111141
0.59,0.5141,12.423847500486287,38.0488,14.460559444444455
0.60,0.5604,12.393112062812277,40.3177,15.569837539682563
0.61,0.6063,12.330034636318654,42.3309,16.729068888888886
0.62,0.6545,12.208403361344537,44.8145,18.084390238095253
0.63,0.6862,12.070387642086855,46.8981,19.484173809523806
0.64,0.7386,12.013945301922556,49.2862,21.061288690476232
0.65,0.7653,11.872860316215863,51.2984,22.68010178571425
0.66,0.7968,11.78953313253012,53.5473,24.505073809523854
0.67,0.8284,11.720424915499759,55.6227,26.4556983333333
0.68,0.8603,11.56677903057073,57.8856,28.584012619047584
0.69,0.8866,11.471238438980375,59.9749,30.461152380952328
0.70,0.909,11.352035203520352,62.0813,33.11195857142855
0.71,0.9279,11.241513094083414,64.0197,35.601649523809506
0.72,0.9414,11.113872955173147,65.9687,38.24047523809514
0.73,0.9558,11.00742833228709,67.9265,41.245169761904734
0.74,0.9671,10.932685347947471,69.5159,43.66893500000004
0.75,0.9758,10.79104324656692,71.3491,46.9990864285714
0.76,0.9822,10.734880879657911,72.8449,49.761423571428644
0.77,0.9863,10.6400689445402,74.3173,52.51233428571436
0.78,0.9905,10.558808682483594,75.894,55.771121666666694
0.79,0.9942,10.463991148662242,77.138,58.520925
0.80,0.9951,10.391920410009044,78.5745,61.79660666666669
0.81,0.9977,10.320036082990878,79.7856,64.13993166666661
0.82,0.9983,10.261244114995492,81.0498,67.45695666666661
0.83,0.9989,10.204224647111824,82.1698,69.73946499999994
0.84,0.9994,10.163197918751251,83.3549,72.74011166666666
0.85,0.9999,10.117011701170117,84.5472,75.53355833333339
0.86,0.9995,10.08344172086043,85.6498,78.03986666666671
0.87,1.0,10.0628,86.6689,79.93323333333332
0.88,1.0,10.0394,87.7341,82.27662499999998
0.89,1.0,10.0224,88.8835,84.53204999999998
0.90,1.0,10.0144,89.8656,86.268475
0.91,1.0,10.0069,90.8948,88.04855
0.92,1.0,10.003,91.9587,90.1153
0.93,1.0,10.0015,92.9614,91.54025
0.94,1.0,10.0005,93.9907,93.00508333333333
0.95,1.0,10.0,94.9884,94.20758333333333
0.96,1.0,10.0,95.9445,95.48745
0.97,1.0,10.0,97.0013,96.78745
0.98,1.0,10.0,97.9873,97.8987
0.99,1.0,10.0,98.9902,98.96185
1.00,1.0,10.0,100.0,100.0
